"word","positive","negative","freq","idf"
"technology",1,0,8432,1.8116827814578
"milestone",0.998,0,700,3.73859833903738
"platform",0.992,0,3095,2.69227827455804
"power",0.992,0,2499,3.07515631289135
"scanship",0.992,0,602,5.2257466737132
"deliver",0.99,0,2025,2.76511306028141
"says",0.986,0,6885,1.71023616512111
"services",0.984,0,6536,1.88764999841899
"solutions",0.98,0,9338,1.7658732454265
"agreement",0.98,0,7987,1.79245592891958
"partners",0.98,0,2315,2.71890021712628
"intent",0.976,0,454,4.21479999823732
"entered",0.97,0,2469,2.46582780421447
"presence",0.968,0,976,3.5907391864296
"generate",0.962,0,436,4.17880639558941
"industries",0.958,0,1346,3.23659197870547
"igaming",0.958,0,303,5.33190686954159
"manufacturers",0.958,0,543,4.08487457575521
"breakthrough",0.958,0,150,5.25494582840546
"logic",0.954,0,96,6.17123656027962
"use",0.946,0,2443,2.5846359552861
"technologies",0.936,0,1542,3.17921486612216
"growing",0.936,0,1486,3.01423613912951
"firm",0.934,0,1111,3.43278888199304
"world",0.93,0,2660,2.52927402595343
"ever",0.928,0,207,4.88210594761338
"antimicrobial",0.928,0,60,6.60487254535448
"wound",0.928,0.002,173,5.81641518499021
"devices",0.92,0,788,3.94361450575903
"research",0.916,0,1270,3.51773380547664
"chip",0.914,0,104,5.72940380800058
"industry",0.912,0,5597,1.92512510958554
"regimen",0.91,0,56,6.63386008222773
"energy",0.908,0,8781,1.92168367667212
"pay",0.904,0,678,3.98852000943298
"infections",0.904,0,168,5.68288379236569
"labs",0.904,0.002,1003,5.18348686442332
"zwipe",0.916,0.016,808,5.66041093651363
"major",0.898,0,1696,2.89829351414114
"holding",0.902,0.004,2435,2.82719759245741
"fast",0.894,0,481,4.10578126057452
"medical",0.896,0.002,1136,3.79546984999198
"machine",0.892,0,174,5.20439354924263
"clean",0.89,0,1139,3.68787431234299
"synergy",0.886,0,106,5.67158423711175
"paying",0.884,0,122,5.70587331059038
"together",0.882,0,2140,2.64487603566346
"solution",0.882,0,2698,2.79948070378562
"biometric",0.892,0.012,1442,4.31378183178617
"sensing",0.88,0,200,5.12978268545146
"systems",0.878,0,3923,2.53218947991356
"sikri",0.898,0.02,147,6.66371304537741
"industrial",0.874,0,2093,2.91957091258843
"market",0.87,0,11639,1.35724715026547
"softox",0.882,0.012,474,5.5651007567093
"pleased",0.868,0,4028,1.97403461261781
"important",0.868,0,2882,2.39295661008659
"laptop",0.868,0,138,5.75350135957964
"contract",0.866,0,9888,1.83588427413699
"stations",0.868,0.004,593,4.61895706168547
"opens",0.864,0,94,5.67158423711175
"capabilities",0.862,0,832,3.62643176891055
"heatcube",0.874,0.012,126,6.98216677649595
"innovation",0.862,0.002,1749,3.10923115977585
"wastewater",0.86,0,314,4.9562139197671
"optimization",0.856,0,169,5.12978268545146
"fossil",0.856,0,186,5.33993904123886
"consumption",0.854,0,455,4.19664126322545
"laptops",0.854,0,35,7.02472639091474
"authentication",0.854,0.004,461,4.54709250045582
"product",0.85,0,3316,2.48606768556222
"proven",0.85,0,765,3.62497933583023
"framework",0.852,0.002,633,4.22004935412346
"smart",0.85,0.002,1662,3.56991955864721
"hydrogen",0.874,0.028,3975,3.77671397195989
"gigs",0.844,0.002,327,5.19737597658399
"copenhagen",0.842,0,418,4.28528987599186
"betalutin",0.846,0.008,239,5.88355448782784
"studies",0.842,0.004,337,4.63875968898165
"multiple",0.834,0,668,3.84848579769098
"payments",0.838,0.004,632,4.17880639558941
"significant",0.832,0,2863,2.39762455830382
"play",0.832,0,471,4.20957805425617
"discharge",0.83,0,166,5.26238080689298
"hand",0.85,0.022,179,5.3160335203853
"look",0.828,0,1559,2.89269517901572
"secure",0.828,0,1142,3.41851991219184
"undisclosed",0.828,0,250,4.74412020463947
"reliable",0.826,0,370,4.36416285607852
"plant",0.824,0,1351,3.69719114992322
